CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383.0,Existing Customer,45.0,M,3.0,High School,Married,$60K - $80K,Blue,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,1144.0,42.0,1.625,0.061
818770008.0,Existing Customer,49.0,F,5.0,Graduate,Single,Less than $40K,Blue,44.0,6.0,1.0,2.0,8256.0,864.0,7392.0,1.541,1291.0,33.0,3.714,0.10499999999999998
713982108.0,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,4.0,1.0,0.0,3418.0,0.0,3418.0,2.594,1887.0,20.0,2.333,0.0
709106358.0,Existing Customer,40.0,M,3.0,Uneducated,Married,$60K - $80K,Blue,21.0,5.0,1.0,0.0,4716.0,0.0,4716.0,2.175,816.0,28.0,2.5,0.0
713061558.0,Existing Customer,44.0,M,2.0,Graduate,Married,$40K - $60K,Blue,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311
710930508.0,Existing Customer,37.0,M,3.0,Uneducated,Single,$60K - $80K,Blue,36.0,5.0,2.0,0.0,22352.0,2517.0,19835.0,3.3549999999999995,1350.0,24.0,1.182,0.11299999999999999
719661558.0,Existing Customer,48.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.144
710599683.0,Existing Customer,56.0,M,1.0,College,Single,$80K - $120K,Blue,36.0,3.0,6.0,0.0,11751.0,0.0,11751.0,3.3969999999999994,1539.0,17.0,3.25,0.0
712396908.0,Existing Customer,57.0,F,2.0,Graduate,Married,Less than $40K,Blue,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279
709967358.0,Existing Customer,48.0,M,4.0,Post-Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,3.0,30367.0,2362.0,28005.0,1.7080000000000002,1671.0,27.0,0.929,0.07800000000000001
806160108.0,Existing Customer,61.0,M,1.0,High School,Married,$40K - $60K,Blue,56.0,2.0,2.0,3.0,3193.0,2517.0,676.0,1.831,1336.0,30.0,1.143,0.788
806165208.0,Existing Customer,47.0,M,1.0,Doctorate,Divorced,$60K - $80K,Blue,42.0,5.0,2.0,0.0,20979.0,1800.0,19179.0,0.906,1178.0,27.0,0.929,0.086
708508758.0,Attrited Customer,62.0,F,0.0,Graduate,Married,Less than $40K,Blue,49.0,2.0,3.0,3.0,1438.2999999999993,0.0,1438.3000000000002,1.047,691.9999999999995,16.0,0.6,0.0
784725333.0,Existing Customer,41.0,M,3.0,High School,Married,$40K - $60K,Blue,33.0,4.0,2.0,1.0,4470.0,680.0,3790.0,1.608,931.0,18.0,1.571,0.152
771071958.0,Existing Customer,41.0,F,3.0,Graduate,Single,Less than $40K,Blue,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215
806624208.0,Existing Customer,47.0,M,4.0,High School,Married,$40K - $60K,Blue,42.0,6.0,0.0,0.0,4785.0,1362.0,3423.0,0.739,1045.0,38.0,0.9,0.285
712991808.0,Existing Customer,53.0,M,2.0,Uneducated,Married,$60K - $80K,Blue,48.0,2.0,5.0,1.0,2451.0,1690.0,761.0,1.323,1596.0,26.0,1.6,0.69
709029408.0,Existing Customer,41.0,M,4.0,Graduate,Married,$60K - $80K,Blue,36.0,4.0,1.0,2.0,8923.0,2517.0,6406.0,1.726,1589.0,24.0,1.6669999999999998,0.282
788658483.0,Existing Customer,53.0,F,2.0,College,Married,Less than $40K,Blue,38.0,5.0,2.0,3.0,2650.0,1490.0,1160.0,1.75,1411.0,28.0,1.0,0.562
787937058.0,Existing Customer,58.0,M,0.0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.714,0.135
715318008.0,Existing Customer,55.0,F,1.0,College,Single,Less than $40K,Blue,36.0,4.0,2.0,1.0,3520.0,1914.0,1606.0,0.51,1407.0,43.0,0.483,0.544
713962233.0,Existing Customer,55.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,2.0,3.0,3035.0,2298.0,737.0,1.724,1877.0,37.0,1.176,0.757
785432733.0,Existing Customer,42.0,F,4.0,High School,Married,Less than $40K,Gold,36.0,2.0,3.0,3.0,15433.0,0.0,15433.0,0.865,966.0,22.0,1.2,0.0
827111283.0,Existing Customer,45.0,M,3.0,Graduate,Single,$80K - $120K,Blue,41.0,2.0,2.0,2.0,32426.0,578.0,31848.0,1.042,1109.0,28.0,0.474,0.018000000000000016
773146383.0,Existing Customer,50.0,F,1.0,College,Single,$40K - $60K,Silver,43.0,3.0,2.0,3.0,17304.0,2517.0,14787.0,1.449,1756.0,33.0,1.2,0.145
778493808.0,Existing Customer,49.0,M,3.0,High School,Married,$60K - $80K,Blue,37.0,5.0,2.0,1.0,3906.0,0.0,3906.0,1.214,1756.0,32.0,1.0,0.0
712661433.0,Existing Customer,49.0,M,4.0,Uneducated,Single,$80K - $120K,Blue,30.0,3.0,2.0,3.0,34516.0,0.0,34516.0,1.621,1444.0,28.0,1.333,0.0
789172683.0,Existing Customer,56.0,M,2.0,Doctorate,Married,$60K - $80K,Blue,45.0,6.0,2.0,0.0,2283.0,1430.0,853.0,2.316,1741.0,27.0,0.588,0.626
738406533.0,Existing Customer,59.0,M,1.0,Doctorate,Married,$40K - $60K,Blue,52.0,3.0,2.0,2.0,2548.0,2020.0,528.0,2.357,1719.0,27.0,1.7,0.793
799723908.0,Existing Customer,46.0,M,3.0,High School,Married,$80K - $120K,Blue,40.0,4.0,3.0,3.0,19458.0,1435.0,18023.0,0.787,1217.0,27.0,0.8,0.07400000000000001
771490833.0,Existing Customer,52.0,M,1.0,College,Single,$80K - $120K,Blue,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259
779471883.0,Attrited Customer,54.0,F,1.0,Graduate,Married,Less than $40K,Blue,40.0,2.0,3.0,1.0,1438.2999999999993,808.0,630.3000000000002,0.997,705.0,19.0,0.9,0.562
711525033.0,Existing Customer,66.0,F,0.0,High School,Married,Less than $40K,Blue,54.0,3.0,4.0,2.0,3171.0,2179.0,992.0,1.224,1946.0,38.0,1.923,0.687
714374133.0,Attrited Customer,56.0,M,2.0,Graduate,Married,$120K +,Blue,36.0,1.0,3.0,3.0,15769.0,0.0,15769.0,1.041,602.0,14.999999999999993,0.364,0.0
716632758.0,Existing Customer,49.0,F,3.0,Graduate,Single,Less than $40K,Blue,36.0,2.0,2.0,0.0,2802.0,2363.0,439.0,0.75,1295.0,40.0,0.6,0.843
768563658.0,Existing Customer,56.0,M,2.0,Uneducated,Married,$40K - $60K,Blue,50.0,4.0,2.0,3.0,4458.0,1880.0,2578.0,1.107,1424.0,29.0,1.417,0.422
714091983.0,Existing Customer,42.0,M,2.0,High School,Single,$60K - $80K,Blue,34.0,4.0,4.0,3.0,3336.0,1753.0,1583.000000000001,0.69,1168.0,27.0,1.25,0.525
712030833.0,Attrited Customer,48.0,M,2.0,Graduate,Married,$60K - $80K,Silver,35.0,2.0,4.0,4.0,34516.0,0.0,34516.0,0.763,690.9999999999995,14.999999999999993,0.5,0.0
711481533.0,Existing Customer,39.0,M,1.0,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.944,1316.0,28.0,1.154,0.211
710082708.0,Existing Customer,44.0,M,4.0,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4.0,2.0,23957.0,2102.0,21855.0,0.997,1276.0,26.0,0.733,0.08799999999999997
708155733.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.11099999999999999
788979258.0,Existing Customer,51.0,M,4.0,Uneducated,Single,$80K - $120K,Silver,38.0,4.0,1.0,4.0,34516.0,1515.0,33001.0,0.592,1293.0,32.0,0.6,0.043999999999999984
